"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000001143" 696 663 792 587 691 518 608 591 818 619 821 737 1083 566 855 766
"ENSMUSG00000001150" 4319 5132 4583 4306 4913 5529 3938 4305 9176 6500 7805 8843 10492 6847 7984 7366
"ENSMUSG00000001151" 15949 15010 14894 14785 19367 22460 21169 13911 24828 18473 20557 23828 28823 22143 22433 23458
"ENSMUSG00000001155" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"ENSMUSG00000001156" 7422 6561 6650 6822 7313 7726 5151 5283 11968 10164 12611 14720 13200 8045 8731 8501
"ENSMUSG00000001157" 1528 1248 1676 1510 1378 1765 1414 1333 3508 3123 3618 4241 4803 3754 3634 2792
"ENSMUSG00000001158" 1330 1365 1610 1646 1630 1907 1394 1564 2048 2422 2857 3057 3915 3085 3123 2051
"ENSMUSG00000001166" 9700 12747 14283 10189 9241 9337 9805 9329 15575 12702 14450 14025 21167 18502 15921 14782
"ENSMUSG00000001168" 3013 3390 2907 2975 2750 2856 3030 2795 7394 5514 7588 7472 9618 8604 7024 6643
"ENSMUSG00000001173" 1613 1042 1411 1741 1462 1803 1863 1581 1392 1231 1338 1710 2602 1969 1563 1782
"ENSMUSG00000001175" 14035 13507 17582 14496 14258 12749 14324 11892 14426 12872 16409 15879 22983 18320 17299 14289
"ENSMUSG00000001211" 389 446 392 486 404 472 373 316 427 300 385 328 422 212 318 277
"ENSMUSG00000001225" 0 0 56 4 12 5 0 2 1 0 4 0 0 0 7 0
"ENSMUSG00000001227" 9 6 20 28 32 4 26 28 34 27 34 32 15 11 22 34
"ENSMUSG00000001228" 9008 9758 11205 8951 8340 8249 8074 6860 13737 10504 11767 12613 16231 12705 13526 12693
"ENSMUSG00000001229" 364 496 523 662 704 582 467 513 706 391 547 473 824 523 489 602
"ENSMUSG00000001240" 32 84 63 35 7 29 25 22 2 18 23 16 30 27 56 25
"ENSMUSG00000001247" 1259 1073 1214 1295 1375 1336 1286 998 1544 1269 1286 1454 1962 1357 1454 1310
"ENSMUSG00000001248" 0 0 0 0 0 0 0 0 0 7 0 0 0 18 1 0
"ENSMUSG00000001249" 1 0 0 0 3 2 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000001260" 0 0 0 8 0 0 3 1 0 0 0 2 0 0 0 0
"ENSMUSG00000001270" 2238 2951 2336 3601 2966 2548 2783 2786 1479 1279 1272 1384 2130 1842 1257 1663
"ENSMUSG00000001280" 3436 5093 4939 3813 4636 3977 4085 5380 3268 1932 2213 2341 4227 2207 3355 2696
"ENSMUSG00000001281" 2 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001285" 170 90 60 132 68 103 53 32 123 125 149 236 216 132 187 160
"ENSMUSG00000001288" 216 160 98 188 67 112 123 168 18 19 9 31 24 11 13 12
"ENSMUSG00000001289" 258 288 282 273 307 298 230 207 345 224 411 380 604 356 366 350
"ENSMUSG00000001300" 6737 4260 6306 5256 5064 6552 4742 4695 4425 3156 3186 5022 6464 4377 5011 4020
"ENSMUSG00000001305" 289 382 414 415 451 371 377 440 419 309 308 364 772 436 612 446
"ENSMUSG00000001313" 36 59 80 74 56 120 78 101 13 14 1 18 2 0 21 8
"ENSMUSG00000001323" 107 159 235 141 154 129 115 147 185 126 212 174 267 193 190 156
"ENSMUSG00000001333" 8 2 1 0 4 5 15 19 0 0 0 3 0 1 0 5
"ENSMUSG00000001334" 16 7 30 5 2 3 23 10 25 25 45 7 37 60 90 20
"ENSMUSG00000001348" 107 180 104 145 101 127 104 119 142 93 103 124 192 128 132 136
"ENSMUSG00000001349" 139 144 177 114 127 74 134 85 428 177 181 243 284 191 403 328
"ENSMUSG00000001366" 352 257 435 380 384 457 333 300 446 457 556 552 630 548 526 565
"ENSMUSG00000001376" 4035 3604 5269 3621 3778 4510 4372 4003 3344 3160 4566 4903 6210 4271 4064 3312
"ENSMUSG00000001380" 363 310 348 302 408 446 319 337 251 246 300 195 516 338 215 264
"ENSMUSG00000001383" 1330 1196 1531 1385 1315 1718 1168 1286 1783 1453 1832 1900 2242 1601 1943 1262
"ENSMUSG00000001403" 2914 4234 3772 4767 3401 3868 3796 3525 2807 1711 2306 2404 3562 2587 2442 2029
"ENSMUSG00000001415" 1872 1700 2444 2198 2127 2406 2025 2181 391 121 212 185 463 226 425 427
"ENSMUSG00000001416" 1675 2464 2400 2105 1990 1912 1850 1849 3194 2624 3055 3229 4172 3064 3271 2586
"ENSMUSG00000001418" 60 195 164 111 124 97 94 87 110 66 60 117 112 121 72 83
"ENSMUSG00000001419" 2444 2292 3401 2805 2592 2712 2351 1858 1799 1301 1210 1339 1602 1112 1053 1126
"ENSMUSG00000001420" 134 113 125 118 140 118 96 133 44 14 23 29 19 10 38 47
"ENSMUSG00000001424" 1201 984 1491 1272 1063 1470 1222 1168 1926 1325 1517 1820 2363 1706 2201 1892
"ENSMUSG00000001435" 0 3 3 0 0 0 0 0 35 8 2 0 0 0 0 0
"ENSMUSG00000001436" 320 479 426 497 457 445 310 327 387 242 311 361 311 360 279 329
"ENSMUSG00000001440" 11185 9999 12638 11171 11019 10858 10221 10158 11612 10219 13132 12544 16668 11410 12456 10504
"ENSMUSG00000001441" 411 734 740 634 576 587 658 808 286 159 93 197 362 135 257 232
"ENSMUSG00000001444" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
"ENSMUSG00000001445" 1458 1083 1496 1445 1388 1453 1364 1157 1309 1387 1467 1639 2428 1503 1501 1197
"ENSMUSG00000001467" 430 227 485 639 448 384 334 586 113 96 112 91 121 80 150 74
"ENSMUSG00000001472" 4527 3976 4928 5370 4627 5304 4962 4313 4491 3953 4529 5289 7218 5710 4996 3888
"ENSMUSG00000001473" 4308 5506 5609 6124 5229 4293 5204 4523 5587 5234 5668 6813 6878 5095 5857 5276
"ENSMUSG00000001482" 266 249 231 259 194 255 218 164 154 103 118 118 179 83 115 130
"ENSMUSG00000001493" 0 6 1 3 1 0 18 4 10 0 0 9 0 0 14 0
"ENSMUSG00000001494" 39 44 17 24 30 1 11 15 151 105 152 95 206 126 175 106
"ENSMUSG00000001496" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000001497" 17 70 154 23 87 20 13 154 2 14 10 0 5 14 20 8
"ENSMUSG00000001504" 100 120 137 73 100 73 40 59 12 0 2 10 17 8 10 4
"ENSMUSG00000001506" 0 9 4 0 0 0 0 0 8 0 0 0 3 0 0 4
"ENSMUSG00000001507" 39 36 83 13 28 11 0 30 5 16 1 27 26 18 8 37
"ENSMUSG00000001508" 1 5 5 14 1 0 21 3 26 14 10 12 47 15 8 23
"ENSMUSG00000001510" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001517" 8460 8619 9412 8533 8511 9481 8274 7731 9487 8206 8819 10663 10344 7709 7872 6996
"ENSMUSG00000001518" 118 112 138 131 145 151 217 124 226 109 158 204 167 147 194 181
"ENSMUSG00000001520" 0 5 0 0 0 0 0 4 0 0 0 0 0 0 0 3
"ENSMUSG00000001521" 5770 5349 7481 6080 7568 7409 6272 6926 4303 3108 3547 3683 6099 3495 4627 4567
"ENSMUSG00000001524" 75 78 60 61 65 102 103 88 91 114 76 114 124 72 114 61
"ENSMUSG00000001525" 2950 4495 4081 3510 3654 3328 2889 3186 4806 4061 5054 5040 6395 4524 5443 4419
"ENSMUSG00000001542" 4307 3529 5250 5426 3836 4063 4231 3813 610 571 732 653 967 691 488 561
"ENSMUSG00000001552" 908 879 1031 906 1036 961 942 850 1329 1054 961 1358 1445 871 940 1043
"ENSMUSG00000001555" 0 1 0 0 0 6 0 0 11 1 0 0 3 16 0 1
"ENSMUSG00000001558" 0 0 0 0 0 3 0 0 6 0 0 0 8 0 2 7
"ENSMUSG00000001566" 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001569" 342 485 453 337 384 485 340 422 532 437 599 517 873 508 651 498
"ENSMUSG00000001576" 837 848 997 1115 741 915 720 830 417 511 519 626 695 508 513 395
"ENSMUSG00000001583" 0 0 0 8 1 0 0 14 1 0 0 0 0 0 0 0
"ENSMUSG00000001588" 1 0 1 9 1 2 8 18 3 0 11 0 0 0 0 28
"ENSMUSG00000001604" 1064 1608 1587 1548 1388 1771 1373 1443 1112 1387 1367 1807 2294 1917 1759 1079
"ENSMUSG00000001622" 0 2 7 15 12 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001627" 1796 1729 2166 1851 1487 1476 1822 1687 3266 3019 3909 4158 5237 3786 3727 2758
"ENSMUSG00000001630" 770 843 753 689 773 738 820 791 726 635 913 816 1117 696 916 734
"ENSMUSG00000001632" 1987 1855 2429 2605 2173 2186 2041 2056 426 350 277 431 483 491 411 483
"ENSMUSG00000001642" 616 882 748 865 675 663 652 630 1153 932 1255 1533 881 825 725 499
"ENSMUSG00000001655" 9 18 34 34 40 28 1 22 9 2 7 8 6 10 19 17
"ENSMUSG00000001656" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
"ENSMUSG00000001657" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSMUSG00000001661" 0 4 0 0 0 1 2 0 1 0 0 0 0 0 0 11
"ENSMUSG00000001663" 0 7 5 0 0 0 0 6 4 0 0 5 0 1 3 8
"ENSMUSG00000001665" 1 3 3 22 2 0 5 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001666" 50 82 75 76 51 72 55 80 152 78 85 155 137 126 118 127
"ENSMUSG00000001670" 0 0 22 5 0 0 3 8 4 0 2 4 5 5 13 7
"ENSMUSG00000001672" 19 11 1 5 15 2 0 7 22 2 13 12 0 5 10 2
"ENSMUSG00000001674" 1076 651 1040 1132 1095 1107 1090 1170 1542 1532 1948 2281 2361 2063 1753 1330
"ENSMUSG00000001687" 3259 2766 3557 2775 2973 3285 2875 2626 2360 2192 2297 2277 2750 1937 2401 2184
"ENSMUSG00000001700" 6 0 8 10 4 0 2 7 3 0 11 10 0 0 0 2
"ENSMUSG00000001707" 1702 1547 1702 1751 1752 2010 1926 1793 1737 1948 2192 2530 2904 2610 2196 1705
"ENSMUSG00000001729" 1746 1661 1560 1551 1642 1843 1643 1491 2661 1980 2181 2538 2613 1791 2628 2280
"ENSMUSG00000001739" 60 73 63 97 55 83 119 43 728 272 506 217 1837 1083 663 434
"ENSMUSG00000001741" 0 0 8 2 0 0 19 1 0 0 0 3 0 0 0 0
"ENSMUSG00000001750" 11 13 92 99 44 22 76 57 7 0 4 6 0 0 9 3
"ENSMUSG00000001751" 49 56 47 23 32 22 43 35 76 38 42 59 96 61 106 60
"ENSMUSG00000001755" 415 426 545 357 549 597 656 497 299 275 357 282 383 295 365 247
"ENSMUSG00000001761" 0 4 0 4 1 0 0 4 7 0 9 0 21 0 28 9
"ENSMUSG00000001763" 1152 1402 1421 1121 1062 1065 1043 1362 1246 1174 1444 1769 2313 1540 1623 1409
"ENSMUSG00000001767" 13132 11992 13021 15295 14166 15665 13647 11381 18369 18447 22496 24389 30918 25825 23370 17331
"ENSMUSG00000001768" 25 109 89 95 202 198 203 185 60 58 48 38 79 56 103 112
"ENSMUSG00000001773" 2 0 4 10 0 0 4 3 0 10 4 0 0 24 12 2
"ENSMUSG00000001774" 906 1338 1271 1020 1245 1268 1182 1380 848 1029 1121 1066 1576 1401 1459 1167
"ENSMUSG00000001783" 1323 1197 1202 1286 1309 1230 1277 1214 1543 1754 1561 1740 2512 2116 2104 1413
"ENSMUSG00000001785" 328 575 496 381 342 254 484 712 97 50 47 54 265 69 191 84
"ENSMUSG00000001786" 507 534 961 571 632 448 485 504 892 682 887 668 910 598 739 647
"ENSMUSG00000001794" 1066 867 1094 954 1109 970 920 605 1001 809 785 925 1376 1245 742 1050
"ENSMUSG00000001802" 23 11 18 6 16 1 6 10 6 0 0 0 0 0 0 0
"ENSMUSG00000001804" 137 75 311 125 107 80 87 113 5 8 2 0 0 0 12 3
"ENSMUSG00000001815" 14 0 9 6 3 25 3 11 9 12 8 0 10 1 0 6
"ENSMUSG00000001819" 55 150 42 63 33 29 4 39 34 119 89 74 240 105 203 147
"ENSMUSG00000001823" 13 12 20 1 12 1 8 10 11 2 15 4 23 0 6 6
"ENSMUSG00000001827" 0 0 8 0 3 0 9 3 0 0 1 0 0 0 4 5
"ENSMUSG00000001829" 1481 1247 1669 1508 1503 1573 1431 1165 1707 1119 1476 1328 2069 1517 1515 1456
"ENSMUSG00000001833" 1953 2217 2674 2073 2064 2599 2066 1809 3424 2645 3906 3780 4787 4605 3887 3383
"ENSMUSG00000001844" 86 62 122 169 76 74 72 95 94 53 128 88 122 205 75 134
"ENSMUSG00000001847" 3238 3119 3934 3592 3253 3584 3136 2819 4493 4334 5029 5851 6553 5428 5401 4003
"ENSMUSG00000001855" 30434 29358 37280 29051 30546 28126 24715 22801 36690 26091 31834 37067 41775 28628 34630 34407
"ENSMUSG00000001864" 8 0 11 11 1 3 28 9 0 1 1 0 0 12 2 0
"ENSMUSG00000001865" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001870" 258 8 377 18 8 11 12 181 3 5 0 7 3 0 2 2
"ENSMUSG00000001891" 486 666 770 523 768 564 607 723 170 84 186 158 361 244 189 253
"ENSMUSG00000001901" 7 11 33 6 16 4 11 11 3 0 0 10 3 0 0 1
"ENSMUSG00000001909" 458 442 597 503 528 412 474 437 603 509 664 772 793 715 723 511
"ENSMUSG00000001910" 1647 2531 2514 2019 2252 2298 1720 2007 3166 2133 2198 3111 3407 1970 2379 2321
"ENSMUSG00000001911" 744 400 690 607 596 695 553 439 446 179 234 350 724 528 626 478
"ENSMUSG00000001918" 0 0 1 0 6 3 4 3 5 0 0 2 5 0 1 2
"ENSMUSG00000001924" 7697 7221 8765 8094 8214 8429 7056 7364 13140 9658 11698 12850 15867 10927 12349 11822
"ENSMUSG00000001930" 21 64 45 42 25 53 92 82 4 18 11 9 34 19 32 10
"ENSMUSG00000001942" 477 674 740 621 670 843 501 517 1060 517 828 917 1315 847 931 725
"ENSMUSG00000001943" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001946" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000001948" 94 99 100 138 80 64 96 75 189 188 256 350 289 239 226 135
"ENSMUSG00000001962" 2337 2185 2703 2810 2472 2828 2352 2401 2402 2191 3249 3107 3783 3629 3188 2080
"ENSMUSG00000001964" 1105 1042 1189 1138 1124 1293 912 1075 622 413 452 586 878 551 547 431
"ENSMUSG00000001983" 163 176 172 187 169 212 222 170 79 86 73 90 95 68 42 82
"ENSMUSG00000001985" 228 136 49 267 193 167 282 205 0 6 7 1 21 46 31 7
"ENSMUSG00000001986" 0 0 0 0 0 0 8 4 6 0 0 0 0 0 0 0
"ENSMUSG00000001988" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000001995" 5294 3695 5804 4902 4923 5287 4777 4623 4592 3571 3454 5554 5073 3402 3805 3256
"ENSMUSG00000001998" 2136 1819 2027 2139 2220 2343 2012 2268 1362 924 1147 1615 1574 1028 1288 1179
"ENSMUSG00000001999" 698 604 729 644 715 739 684 628 1157 763 1113 1129 1445 1027 1230 1271
"ENSMUSG00000002006" 32 56 36 14 26 46 14 7 7 4 13 0 4 19 16 21
"ENSMUSG00000002007" 67 87 55 22 28 73 49 97 9 13 15 22 16 42 12 11
"ENSMUSG00000002010" 526 497 617 627 616 665 610 557 323 346 298 343 567 544 616 397
"ENSMUSG00000002012" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000002014" 107 93 96 120 104 99 83 61 45 79 67 83 100 89 88 133
"ENSMUSG00000002015" 1069 992 1195 1187 1165 1199 1242 1142 1749 1739 2168 2710 2767 2154 2172 1758
"ENSMUSG00000002017" 3817 5207 4256 5756 5147 5208 6086 6057 1401 1085 1147 1390 2435 1758 1816 1038
"ENSMUSG00000002020" 314 250 302 304 275 241 402 295 383 400 238 464 525 653 357 335
"ENSMUSG00000002028" 13750 16837 21532 11274 13568 14235 10177 11887 87 32 98 46 215 59 51 313
"ENSMUSG00000002031" 2011 2166 1938 2155 1968 2279 1862 1752 2862 2148 3109 3156 4850 3759 3517 2991
"ENSMUSG00000002032" 8 18 2 0 13 11 22 0 3 0 0 0 0 0 0 0
"ENSMUSG00000002033" 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"ENSMUSG00000002043" 10 9 16 2 11 3 8 7 50 5 32 15 12 31 45 30
"ENSMUSG00000002052" 6247 6591 7306 6485 6453 7555 6606 6098 10695 8107 10558 10501 14382 10660 10473 9311
"ENSMUSG00000002055" 1014 1256 1483 1191 1312 1163 1374 1337 2073 2001 2353 2772 3292 2274 2292 1915
"ENSMUSG00000002057" 3 3 0 0 4 0 2 0 8 8 3 0 0 0 0 0
"ENSMUSG00000002058" 13 15 10 10 33 9 11 17 75 37 34 30 47 38 77 24
"ENSMUSG00000002059" 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0
"ENSMUSG00000002064" 735 747 909 825 819 813 738 750 1180 1124 1419 1205 1931 1202 1302 998
"ENSMUSG00000002068" 725 560 752 731 557 651 514 591 86 56 84 108 160 59 102 47
"ENSMUSG00000002076" 900 773 945 957 1021 1060 932 1014 1187 998 1255 1297 1860 1312 1387 1089
"ENSMUSG00000002083" 2 3 21 0 1 3 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000002100" 0 0 0 0 0 0 0 0 6 0 0 0 0 0 10 0
"ENSMUSG00000002102" 1017 946 999 1053 1070 1093 1006 906 1436 1309 1615 1558 2232 1602 1726 1404
"ENSMUSG00000002103" 105 152 168 101 134 128 143 136 150 153 149 105 186 191 137 136
"ENSMUSG00000002104" 14 13 29 17 14 10 8 24 10 10 4 18 8 1 14 12
"ENSMUSG00000002105" 38 39 63 20 44 19 45 26 35 37 31 49 18 22 37 27
"ENSMUSG00000002107" 8560 9941 10604 8531 8308 8910 7448 7563 7490 5968 8343 6830 9624 6726 7571 7382
"ENSMUSG00000002108" 20 19 13 15 21 9 16 23 28 14 11 4 34 36 14 6
"ENSMUSG00000002109" 610 647 856 846 656 877 750 620 842 802 1035 1267 1339 1155 997 780
"ENSMUSG00000002111" 6 4 3 9 26 1 12 0 33 15 2 5 7 6 14 27
"ENSMUSG00000002129" 6816 6245 6114 7680 6879 7776 6222 5731 7168 6405 8580 8567 11723 8811 8332 7355
"ENSMUSG00000002147" 1576 1699 1621 1712 1903 1852 1781 1377 2065 2061 2398 3062 2755 2402 2272 1863
"ENSMUSG00000002190" 73 117 304 112 79 63 40 69 35 55 38 21 75 44 56 24
"ENSMUSG00000002204" 2 0 0 0 4 0 0 0 0 0 1 0 0 0 0 2
"ENSMUSG00000002205" 158 116 126 226 227 325 172 152 198 189 224 226 346 217 148 158
"ENSMUSG00000002210" 190 343 314 242 216 180 240 261 281 251 288 290 309 339 397 269
"ENSMUSG00000002221" 1375 1252 1747 1299 1336 1235 1210 1165 1392 1173 1199 1442 1702 1365 1428 1173
"ENSMUSG00000002222" 13286 12363 16941 13050 14805 13878 14858 14563 8346 7566 7802 9769 10689 7101 8500 6862
"ENSMUSG00000002227" 102 178 223 185 305 217 155 301 157 78 172 71 183 380 457 365
"ENSMUSG00000002228" 0 0 0 0 0 0 0 3 0 1 0 0 5 2 0 3
"ENSMUSG00000002233" 0 2 0 0 3 0 7 1 1 0 11 0 0 12 0 6
"ENSMUSG00000002240" 0 15 0 1 0 0 0 1 0 4 0 0 3 1 7 1
"ENSMUSG00000002249" 554 527 437 585 512 572 414 405 303 238 133 449 288 176 123 125
"ENSMUSG00000002250" 1094 952 1353 1107 1050 1275 993 910 1620 1474 1529 1803 1964 1475 1608 1710
"ENSMUSG00000002257" 212 162 226 234 299 183 163 128 412 375 316 343 715 668 599 515
"ENSMUSG00000002265" 572 938 997 566 482 520 503 528 1013 586 655 730 1131 786 908 937
"ENSMUSG00000002266" 466 1003 652 510 755 654 619 525 353 401 489 443 397 425 403 309
"ENSMUSG00000002274" 9 1 5 6 12 46 2 3 0 0 0 5 0 0 0 0
"ENSMUSG00000002279" 98 156 127 156 204 138 136 146 67 85 54 134 134 92 76 87
"ENSMUSG00000002280" 125 158 96 133 100 171 137 158 42 47 47 76 51 33 61 67
"ENSMUSG00000002289" 0 0 1 3 0 0 6 0 24 1 1 0 46 52 19 19
"ENSMUSG00000002297" 4002 4637 5250 4544 4915 5135 6168 4999 10192 10372 12433 14476 17896 14112 14726 9719
"ENSMUSG00000002307" 1242 1506 1562 1619 1491 1740 1620 1368 1739 1723 1442 2121 2689 1465 1661 1531
"ENSMUSG00000002308" 178 212 312 132 240 185 169 191 195 189 203 255 258 287 286 199
"ENSMUSG00000002319" 145 202 122 199 230 276 202 138 215 181 212 135 241 135 104 173
"ENSMUSG00000002320" 69 142 117 155 165 196 124 205 39 33 15 31 36 19 70 22
"ENSMUSG00000002324" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000002325" 10 1 1 0 2 12 0 3 0 8 3 0 1 11 3 3
"ENSMUSG00000002326" 30 30 25 48 33 22 44 45 15 8 9 18 35 43 12 33
"ENSMUSG00000002329" 68 72 39 64 38 65 49 61 32 32 34 37 60 43 8 52
"ENSMUSG00000002332" 472 424 518 459 659 647 593 550 645 387 539 702 988 611 627 607
"ENSMUSG00000002341" 0 10 4 8 9 2 9 29 6 1 0 8 2 2 0 7
"ENSMUSG00000002342" 72 117 125 124 182 104 121 169 49 36 24 28 93 30 28 31
"ENSMUSG00000002343" 210 212 303 170 269 193 284 292 5 4 15 14 65 1 28 39
"ENSMUSG00000002345" 256 180 227 201 221 184 268 194 113 134 127 166 348 265 164 132
"ENSMUSG00000002346" 28 36 65 37 36 39 53 52 0 0 0 0 11 11 0 4
"ENSMUSG00000002365" 6110 6848 7273 6518 7544 7980 6458 6853 11101 9427 11563 11343 14835 10702 12081 11122
"ENSMUSG00000002372" 3153 2900 3292 3401 3300 3696 3079 3043 5942 5531 5851 6789 7876 5670 5478 5094
"ENSMUSG00000002379" 240 316 325 262 307 299 235 239 445 362 486 681 587 509 465 466
"ENSMUSG00000002384" 2 14 6 1 0 14 8 1 2 0 6 0 0 7 2 11
"ENSMUSG00000002393" 82 103 54 55 85 41 68 79 26 15 28 12 28 37 20 11
"ENSMUSG00000002395" 321 622 357 480 427 226 313 283 842 713 892 787 1104 1041 723 564
"ENSMUSG00000002396" 34 17 32 37 32 34 64 13 31 21 35 47 21 38 42 21
"ENSMUSG00000002409" 1097 1105 1176 1224 1301 1294 1237 999 913 659 800 679 1035 712 743 612
"ENSMUSG00000002413" 1377 1874 2239 1494 1231 1434 1349 1727 540 460 970 678 1168 800 1042 732
"ENSMUSG00000002416" 101 104 129 48 108 66 60 82 134 82 112 179 221 84 144 86
"ENSMUSG00000002428" 2794 2954 4086 2592 2380 2576 3223 3173 797 507 884 869 1268 1155 970 765
"ENSMUSG00000002455" 2445 2667 2740 2610 2893 2925 2574 3027 4358 4269 4785 5588 7025 5055 5255 3778
"ENSMUSG00000002458" 80 56 42 31 58 121 92 49 167 160 163 142 407 117 209 244
"ENSMUSG00000002459" 0 4 4 4 1 1 0 4 0 0 0 0 0 0 2 5
"ENSMUSG00000002475" 616 497 736 596 613 506 556 604 511 538 713 661 527 470 484 387
"ENSMUSG00000002477" 595 615 749 794 765 847 650 593 1267 1197 1426 1634 1886 1537 1481 1090
"ENSMUSG00000002486" 360 497 544 428 415 544 395 295 310 174 253 227 363 322 231 271
"ENSMUSG00000002489" 25906 22551 28684 23394 27771 33010 22692 20677 40740 37283 42706 45234 49799 33459 37761 35337
"ENSMUSG00000002496" 1513 1766 1972 1887 1719 1569 1335 1638 989 591 714 803 853 655 938 886
"ENSMUSG00000002500" 1 5 13 0 0 4 0 3 2 2 0 13 2 7 0 5
"ENSMUSG00000002504" 3 0 12 0 2 6 5 8 2 0 0 8 1 0 6 13
"ENSMUSG00000002524" 1136 1118 1662 918 1205 1080 822 727 2639 1568 1823 2066 2624 1997 2577 2555
"ENSMUSG00000002546" 3716 3614 3758 3545 3563 3779 3430 3216 4959 4217 4677 4922 5850 4098 3681 3928
"ENSMUSG00000002550" 11 0 10 3 11 0 11 6 0 0 0 0 0 20 12 0
"ENSMUSG00000002565" 387 393 540 465 462 430 348 300 813 540 691 893 1152 824 877 710
"ENSMUSG00000002578" 614 1198 1707 913 540 382 600 612 1730 2012 2095 1711 3557 2557 2665 2388
"ENSMUSG00000002580" 35 81 55 41 74 74 36 60 30 59 28 63 97 41 82 70
"ENSMUSG00000002588" 6 1 6 8 2 5 1 18 1 14 12 13 34 8 9 6
"ENSMUSG00000002602" 0 6 9 6 0 2 0 0 2 0 4 17 11 14 0 0
"ENSMUSG00000002603" 9 1 15 1 12 6 10 9 0 1 0 6 19 8 13 0
"ENSMUSG00000002608" 949 1309 1229 1029 1288 1060 927 924 1563 1098 1326 1208 1602 857 1199 1214
"ENSMUSG00000002617" 216 487 412 308 416 311 440 413 108 81 130 162 203 183 184 175
"ENSMUSG00000002625" 617 646 645 663 740 758 782 656 277 300 409 487 729 647 641 374
"ENSMUSG00000002633" 9 107 43 71 27 41 3 15 58 70 18 61 76 61 24 7
"ENSMUSG00000002635" 912 1060 1105 1134 1061 1224 1143 957 1867 1494 1637 2440 2318 1672 1949 1478
"ENSMUSG00000002658" 764 930 909 1038 1073 976 768 975 1706 1744 2046 2566 2697 2481 2476 1529
"ENSMUSG00000002660" 31 121 67 93 90 54 88 79 58 48 77 45 64 108 122 93
"ENSMUSG00000002661" 148 190 122 217 251 280 178 192 358 349 320 391 477 484 356 324
"ENSMUSG00000002664" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0
"ENSMUSG00000002668" 6 17 19 1 17 12 4 29 16 0 3 0 9 0 9 10
"ENSMUSG00000002679" 1161 746 1120 1026 1103 1205 971 1003 1825 2067 2032 2330 3313 2623 2307 1450
"ENSMUSG00000002688" 3859 3838 5706 4713 3955 4369 4160 4227 3320 2523 3252 3482 4622 3689 3286 2728
"ENSMUSG00000002699" 202 87 369 180 198 203 242 203 61 65 61 40 89 150 135 99
